flightNumber,scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,departureDate,departureTime,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,arrivalDate,arrivalTime,adultPrice,originalAdultPrice,journeyType,journeyDuration,totalNumberOfStops,carrierCode,carrierName,availableSeats,isCheapest,airportTax,originalAirportTax,bookingFee,originalBookingFee,isOriginalBooking
1161,2023-03-16,LGG,Luik,BEL,2023-04-10,06:00,ALC,Alicante,ESP,2023-04-10,08:45,109.99,109.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
1111,2023-03-16,BRU,Brussel,BEL,2023-04-10,06:05,ALC,Alicante,ESP,2023-04-10,08:50,129.99,129.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1101,2023-03-16,ANR,Antwerpen,BEL,2023-04-10,08:00,ALC,Alicante,ESP,2023-04-10,10:40,149.99,149.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1171,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-10,14:30,ALC,Alicante,ESP,2023-04-10,17:20,139.99,139.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1171,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-11,06:00,ALC,Alicante,ESP,2023-04-11,08:50,97.99,97.99,Direct,02:50,,TB,TUI fly,10,True,0.0,0.0,,,False
1135,2023-03-16,BRU,Brussel,BEL,2023-04-11,06:15,ALC,Alicante,ESP,2023-04-11,09:00,169.99,169.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1101,2023-03-16,ANR,Antwerpen,BEL,2023-04-11,07:30,ALC,Alicante,ESP,2023-04-11,10:10,104.99,104.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1103,2023-03-16,ANR,Antwerpen,BEL,2023-04-11,08:35,ALC,Alicante,ESP,2023-04-11,11:15,97.99,97.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1417,2023-03-16,BRU,Brussel,BEL,2023-04-06,06:20,IBZ,Palma de Mallorca,ESP,2023-04-06,08:55,239.99,239.99,Stop Over,04:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1417,2023-03-16,BRU,Brussel,BEL,2023-04-09,06:30,IBZ,Palma de Mallorca,ESP,2023-04-09,09:05,269.99,269.99,Stop Over,04:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1011,2023-03-16,BRU,Brussel,BEL,2023-04-05,06:05,AGP,Malaga,ESP,2023-04-05,09:10,134.99,134.99,Direct,03:05,,TB,TUI fly,10,True,0.0,0.0,,,False
1071,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-05,06:30,AGP,Malaga,ESP,2023-04-05,09:40,179.99,179.99,Direct,03:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1003,2023-03-16,ANR,Antwerpen,BEL,2023-04-05,13:15,AGP,Malaga,ESP,2023-04-05,16:20,204.99,204.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1027,2023-03-16,BRU,Brussel,BEL,2023-04-06,06:05,AGP,Malaga,ESP,2023-04-06,09:10,184.99,184.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1071,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-06,06:25,AGP,Malaga,ESP,2023-04-06,09:35,174.99,174.99,Direct,03:10,,TB,TUI fly,10,True,0.0,0.0,,,False
1001,2023-03-16,ANR,Antwerpen,BEL,2023-04-06,08:05,AGP,Malaga,ESP,2023-04-06,11:10,179.99,179.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1003,2023-03-16,ANR,Antwerpen,BEL,2023-04-06,13:55,AGP,Malaga,ESP,2023-04-06,17:00,189.99,189.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1013,2023-03-16,BRU,Brussel,BEL,2023-04-06,15:55,AGP,Malaga,ESP,2023-04-06,19:00,189.99,189.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1071,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-07,06:00,AGP,Malaga,ESP,2023-04-07,09:10,229.99,229.99,Direct,03:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1011,2023-03-16,BRU,Brussel,BEL,2023-04-07,06:00,AGP,Malaga,ESP,2023-04-07,09:05,169.99,169.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1161,2023-03-16,LGG,Luik,BEL,2023-04-07,06:00,AGP,Alicante,ESP,2023-04-07,08:45,119.99,119.99,Stop Over,04:50,,TB,TUI fly,10,True,0.0,0.0,,,False
1003,2023-03-16,ANR,Antwerpen,BEL,2023-04-07,14:50,AGP,Malaga,ESP,2023-04-07,17:55,229.99,229.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1011,2023-03-16,BRU,Brussel,BEL,2023-04-08,06:00,AGP,Malaga,ESP,2023-04-08,09:05,259.99,259.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1071,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-08,06:50,AGP,Malaga,ESP,2023-04-08,10:00,399.99,399.99,Direct,03:10,,TB,TUI fly,9,False,0.0,0.0,,,False
1003,2023-03-16,ANR,Antwerpen,BEL,2023-04-08,13:20,AGP,Malaga,ESP,2023-04-08,16:25,269.99,269.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1013,2023-03-16,BRU,Brussel,BEL,2023-04-08,14:25,AGP,Malaga,ESP,2023-04-08,17:30,219.99,219.99,Direct,03:05,,TB,TUI fly,10,True,0.0,0.0,,,False
1071,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-09,06:15,AGP,Malaga,ESP,2023-04-09,09:25,289.99,289.99,Direct,03:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1001,2023-03-16,ANR,Antwerpen,BEL,2023-04-09,06:30,AGP,Malaga,ESP,2023-04-09,09:35,179.99,179.99,Direct,03:05,,TB,TUI fly,10,True,0.0,0.0,,,False
1011,2023-03-16,BRU,Brussel,BEL,2023-04-09,13:50,AGP,Malaga,ESP,2023-04-09,16:55,259.99,259.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1013,2023-03-16,BRU,Brussel,BEL,2023-04-09,15:25,AGP,Malaga,ESP,2023-04-09,18:30,179.99,179.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1161,2023-03-16,LGG,Luik,BEL,2023-04-10,06:00,AGP,Alicante,ESP,2023-04-10,08:45,99.99,99.99,Stop Over,04:50,,TB,TUI fly,10,True,0.0,0.0,,,False
1011,2023-03-16,BRU,Brussel,BEL,2023-04-10,06:05,AGP,Malaga,ESP,2023-04-10,09:10,154.99,154.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1013,2023-03-16,BRU,Brussel,BEL,2023-04-10,06:20,AGP,Malaga,ESP,2023-04-10,09:25,149.99,149.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1001,2023-03-16,ANR,Antwerpen,BEL,2023-04-10,06:45,AGP,Malaga,ESP,2023-04-10,09:50,239.99,239.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1003,2023-03-16,ANR,Antwerpen,BEL,2023-04-10,14:05,AGP,Malaga,ESP,2023-04-10,17:10,154.99,154.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1071,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-10,16:45,AGP,Malaga,ESP,2023-04-10,19:55,164.99,164.99,Direct,03:10,,TB,TUI fly,10,False,0.0,0.0,,,False
1011,2023-03-16,BRU,Brussel,BEL,2023-04-11,06:15,AGP,Malaga,ESP,2023-04-11,09:20,129.99,129.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1003,2023-03-16,ANR,Antwerpen,BEL,2023-04-11,14:15,AGP,Malaga,ESP,2023-04-11,17:20,204.99,204.99,Direct,03:05,,TB,TUI fly,10,False,0.0,0.0,,,False
1013,2023-03-16,BRU,Brussel,BEL,2023-04-11,16:00,AGP,Malaga,ESP,2023-04-11,19:05,99.99,99.99,Direct,03:05,,TB,TUI fly,10,True,0.0,0.0,,,False
1791,2023-03-16,LGG,Luik,BEL,2023-04-05,12:30,TFS,Tenerife,ESP,2023-04-05,16:30,119.99,119.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
1811,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-05,13:10,TFS,Tenerife,ESP,2023-04-05,17:10,199.99,199.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
1751,2023-03-16,BRU,Brussel,BEL,2023-04-05,14:05,TFS,Tenerife,ESP,2023-04-05,18:05,204.99,204.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
1753,2023-03-16,BRU,Brussel,BEL,2023-04-06,12:40,TFS,Tenerife,ESP,2023-04-06,16:40,249.99,249.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
1811,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-06,13:50,TFS,Tenerife,ESP,2023-04-06,17:50,379.99,379.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
1753,2023-03-16,BRU,Brussel,BEL,2023-04-07,13:35,TFS,Tenerife,ESP,2023-04-07,17:35,219.99,219.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
1811,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-07,13:40,TFS,Tenerife,ESP,2023-04-07,17:40,269.99,269.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
1801,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-07,15:40,TFS,Tenerife,ESP,2023-04-07,19:40,229.99,229.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
1753,2023-03-16,BRU,Brussel,BEL,2023-04-08,08:00,TFS,Tenerife,ESP,2023-04-08,12:00,549.99,549.99,Direct,05:00,,TB,TUI fly,2,False,0.0,0.0,,,False
1791,2023-03-16,LGG,Luik,BEL,2023-04-08,14:55,TFS,Tenerife,ESP,2023-04-08,18:55,189.99,189.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
1755,2023-03-16,BRU,Brussel,BEL,2023-04-08,16:20,TFS,Tenerife,ESP,2023-04-08,20:20,379.99,379.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
1753,2023-03-16,BRU,Brussel,BEL,2023-04-09,14:10,TFS,Tenerife,ESP,2023-04-09,18:10,279.99,279.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
1811,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-09,14:40,TFS,Tenerife,ESP,2023-04-09,18:40,249.99,249.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
1801,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-10,06:00,TFS,Tenerife,ESP,2023-04-10,10:00,209.99,209.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
1751,2023-03-16,BRU,Brussel,BEL,2023-04-10,06:10,TFS,Tenerife,ESP,2023-04-10,10:10,284.99,284.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
1753,2023-03-16,BRU,Brussel,BEL,2023-04-11,06:05,TFS,Tenerife,ESP,2023-04-11,10:05,149.99,149.99,Direct,05:00,,TB,TUI fly,10,False,0.0,0.0,,,False
1801,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-11,13:00,TFS,Tenerife,ESP,2023-04-11,17:00,109.99,109.99,Direct,05:00,,TB,TUI fly,10,True,0.0,0.0,,,False
2257,2023-03-16,BRU,Brussel,BEL,2023-04-14,08:00,HER,Kreta-Heraklion,GRC,2023-04-14,12:50,199.99,199.99,Direct,03:50,,TB,TUI fly,10,False,0.0,0.0,,,False
2263,2023-03-16,BRU,Brussel,BEL,2023-04-16,06:30,HER,Kreta-Heraklion,GRC,2023-04-16,11:20,399.99,399.99,Direct,03:50,,TB,TUI fly,1,False,0.0,0.0,,,False
2341,2023-03-16,BRU,Brussel,BEL,2023-04-16,07:30,RHO,Rhodos,GRC,2023-04-16,12:30,179.99,179.99,Direct,04:00,,TB,TUI fly,10,False,0.0,0.0,,,False
2367,2023-03-16,BRU,Brussel,BEL,2023-04-18,06:00,RHO,Rhodos,GRC,2023-04-18,11:00,219.99,219.99,Direct,04:00,,TB,TUI fly,10,False,0.0,0.0,,,False
1941,2023-03-16,BRU,Brussel,BEL,2023-04-16,13:35,FAO,Faro,PRT,2023-04-16,15:50,99.99,99.99,Direct,03:15,,TB,TUI fly,10,False,0.0,0.0,,,False
1171,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-12,06:00,ALC,Alicante,ESP,2023-04-12,08:50,97.99,97.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1111,2023-03-16,BRU,Brussel,BEL,2023-04-12,06:05,ALC,Alicante,ESP,2023-04-12,08:50,77.99,77.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
1113,2023-03-16,BRU,Brussel,BEL,2023-04-12,06:10,ALC,Alicante,ESP,2023-04-12,08:55,87.99,87.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1101,2023-03-16,ANR,Antwerpen,BEL,2023-04-12,06:30,ALC,Alicante,ESP,2023-04-12,09:10,97.99,97.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1111,2023-03-16,BRU,Brussel,BEL,2023-04-13,06:05,ALC,Alicante,ESP,2023-04-13,08:50,79.99,79.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1171,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-13,07:00,ALC,Alicante,ESP,2023-04-13,09:50,109.99,109.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1103,2023-03-16,ANR,Antwerpen,BEL,2023-04-13,15:30,ALC,Alicante,ESP,2023-04-13,18:10,109.99,109.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1113,2023-03-16,BRU,Brussel,BEL,2023-04-13,16:25,ALC,Alicante,ESP,2023-04-13,19:10,75.99,75.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
1161,2023-03-16,LGG,Luik,BEL,2023-04-14,06:00,ALC,Alicante,ESP,2023-04-14,08:45,89.99,89.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
1419,2023-03-16,BRU,Brussel,BEL,2023-04-14,06:20,ALC,Palma de Mallorca,ESP,2023-04-14,08:55,79.99,79.99,Stop Over,04:20,,TB,TUI fly,10,False,0.0,0.0,,,False
1113,2023-03-16,BRU,Brussel,BEL,2023-04-14,06:25,ALC,Alicante,ESP,2023-04-14,09:10,79.99,79.99,Direct,02:45,,TB,TUI fly,10,True,0.0,0.0,,,False
1101,2023-03-16,ANR,Antwerpen,BEL,2023-04-14,06:30,ALC,Alicante,ESP,2023-04-14,09:10,119.99,119.99,Direct,02:40,,TB,TUI fly,10,False,0.0,0.0,,,False
1183,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-14,07:00,ALC,Alicante,ESP,2023-04-14,09:50,139.99,139.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1187,2023-03-16,OST,Brugge-Oostende,BEL,2023-04-15,06:00,ALC,Alicante,ESP,2023-04-15,08:50,169.99,169.99,Direct,02:50,,TB,TUI fly,10,False,0.0,0.0,,,False
1135,2023-03-16,BRU,Brussel,BEL,2023-04-15,06:00,ALC,Alicante,ESP,2023-04-15,08:45,174.99,174.99,Direct,02:45,,TB,TUI fly,10,False,0.0,0.0,,,False
