scrapeDate,flightKey,departAirport,arrivalAirport,marketingAirline,carrierName,departureDate,departureTime,arrivalDate,arrivalTime,flightNumber,totalPrice,baseFare,taxSurcharge
2023-03-29,HV 9009_2023-04-17,BRU,IBZ,HV,Transavia,2023-04-17,06:30:00,2023-04-17,08:55:00,HV 9009,57.0,19.86,37.14
2023-03-29,HV 9211_2023-04-18,BRU,HER,HV,Transavia,2023-04-18,07:10:00,2023-04-18,11:35:00,HV 9211,146.0,108.86,37.14
2023-03-29,HV 9003_2023-04-18,BRU,ALC,HV,Transavia,2023-04-18,17:25:00,2023-04-18,19:55:00,HV 9003,82.0,44.86,37.14
2023-03-29,HV 9003_2023-04-19,BRU,ALC,HV,Transavia,2023-04-19,16:05:00,2023-04-19,18:35:00,HV 9003,101.0,63.86,37.14
2023-03-29,HV 9009_2023-04-19,BRU,IBZ,HV,Transavia,2023-04-19,06:30:00,2023-04-19,08:55:00,HV 9009,44.0,6.86,37.14
2023-03-29,HV 9007_2023-04-20,BRU,FAO,HV,Transavia,2023-04-20,16:45:00,2023-04-20,18:40:00,HV 9007,135.0,97.86,37.14
2023-03-29,HV 9003_2023-04-20,BRU,ALC,HV,Transavia,2023-04-20,06:50:00,2023-04-20,09:15:00,HV 9003,101.0,63.86,37.14
2023-03-29,HV 9007_2023-04-21,BRU,FAO,HV,Transavia,2023-04-21,07:15:00,2023-04-21,09:10:00,HV 9007,165.0,127.86,37.14
2023-03-29,HV 9009_2023-04-21,BRU,IBZ,HV,Transavia,2023-04-21,17:20:00,2023-04-21,19:45:00,HV 9009,163.0,125.86,37.14
2023-03-29,HV 9209_2023-04-22,BRU,HER,HV,Transavia,2023-04-22,06:35:00,2023-04-22,11:00:00,HV 9209,309.0,271.86,37.14
2023-03-29,HV 9003_2023-04-22,BRU,ALC,HV,Transavia,2023-04-22,16:20:00,2023-04-22,18:50:00,HV 9003,167.0,129.86,37.14
2023-03-29,HV 9009_2023-04-22,BRU,IBZ,HV,Transavia,2023-04-22,12:30:00,2023-04-22,14:50:00,HV 9009,202.0,164.86,37.14
2023-03-29,HV 9007_2023-04-23,BRU,FAO,HV,Transavia,2023-04-23,07:10:00,2023-04-23,09:05:00,HV 9007,233.0,195.86,37.14
2023-03-29,HV 9003_2023-04-23,BRU,ALC,HV,Transavia,2023-04-23,17:25:00,2023-04-23,19:55:00,HV 9003,167.0,129.86,37.14
2023-03-29,HV 9007_2023-04-24,BRU,FAO,HV,Transavia,2023-04-24,15:40:00,2023-04-24,17:35:00,HV 9007,215.0,177.86,37.14
2023-03-29,HV 9009_2023-04-24,BRU,IBZ,HV,Transavia,2023-04-24,06:30:00,2023-04-24,08:55:00,HV 9009,163.0,125.86,37.14
2023-03-29,HV 9211_2023-04-25,BRU,HER,HV,Transavia,2023-04-25,07:10:00,2023-04-25,11:35:00,HV 9211,207.0,169.86,37.14
2023-03-29,HV 9003_2023-04-25,BRU,ALC,HV,Transavia,2023-04-25,17:25:00,2023-04-25,19:55:00,HV 9003,182.0,144.86,37.14
2023-03-29,HV 9003_2023-04-26,BRU,ALC,HV,Transavia,2023-04-26,16:05:00,2023-04-26,18:35:00,HV 9003,167.0,129.86,37.14
2023-03-29,HV 9009_2023-04-26,BRU,IBZ,HV,Transavia,2023-04-26,06:30:00,2023-04-26,08:55:00,HV 9009,163.0,125.86,37.14
2023-03-29,HV 9007_2023-04-27,BRU,FAO,HV,Transavia,2023-04-27,16:45:00,2023-04-27,18:40:00,HV 9007,215.0,177.86,37.14
2023-03-29,HV 9003_2023-04-27,BRU,ALC,HV,Transavia,2023-04-27,06:50:00,2023-04-27,09:15:00,HV 9003,199.0,161.86,37.14
2023-03-29,HV 9007_2023-04-28,BRU,FAO,HV,Transavia,2023-04-28,07:15:00,2023-04-28,09:10:00,HV 9007,233.0,195.86,37.14
2023-03-29,HV 9009_2023-04-28,BRU,IBZ,HV,Transavia,2023-04-28,17:20:00,2023-04-28,19:45:00,HV 9009,223.0,185.86,37.14
2023-03-29,HV 9209_2023-04-29,BRU,HER,HV,Transavia,2023-04-29,06:35:00,2023-04-29,11:00:00,HV 9209,309.0,271.86,37.14
2023-03-29,HV 9003_2023-04-29,BRU,ALC,HV,Transavia,2023-04-29,16:20:00,2023-04-29,18:50:00,HV 9003,234.0,196.86,37.14
2023-03-29,HV 9009_2023-04-29,BRU,IBZ,HV,Transavia,2023-04-29,12:30:00,2023-04-29,14:50:00,HV 9009,292.0,254.86,37.14
2023-03-29,HV 9007_2023-04-30,BRU,FAO,HV,Transavia,2023-04-30,07:10:00,2023-04-30,09:05:00,HV 9007,165.0,127.86,37.14
2023-03-29,HV 9003_2023-04-30,BRU,ALC,HV,Transavia,2023-04-30,17:25:00,2023-04-30,19:55:00,HV 9003,234.0,196.86,37.14
2023-03-29,HV 9007_2023-05-01,BRU,FAO,HV,Transavia,2023-05-01,15:40:00,2023-05-01,17:35:00,HV 9007,180.0,142.86,37.14
2023-03-29,HV 9009_2023-05-01,BRU,IBZ,HV,Transavia,2023-05-01,06:30:00,2023-05-01,08:55:00,HV 9009,146.0,108.86,37.14
2023-03-29,HV 9211_2023-05-02,BRU,HER,HV,Transavia,2023-05-02,07:10:00,2023-05-02,11:35:00,HV 9211,225.0,187.86,37.14
2023-03-29,HV 9003_2023-05-02,BRU,ALC,HV,Transavia,2023-05-02,17:25:00,2023-05-02,19:55:00,HV 9003,167.0,129.86,37.14
2023-03-29,HV 9003_2023-05-03,BRU,ALC,HV,Transavia,2023-05-03,16:05:00,2023-05-03,18:35:00,HV 9003,152.0,114.86,37.14
2023-03-29,HV 9009_2023-05-03,BRU,IBZ,HV,Transavia,2023-05-03,06:30:00,2023-05-03,08:55:00,HV 9009,88.0,50.86,37.14
2023-03-29,HV 9007_2023-05-04,BRU,FAO,HV,Transavia,2023-05-04,16:45:00,2023-05-04,18:40:00,HV 9007,87.0,49.86,37.14
2023-03-29,HV 9003_2023-05-04,BRU,ALC,HV,Transavia,2023-05-04,06:50:00,2023-05-04,09:15:00,HV 9003,152.0,114.86,37.14
2023-03-29,HV 9007_2023-05-05,BRU,FAO,HV,Transavia,2023-05-05,07:15:00,2023-05-05,09:10:00,HV 9007,87.0,49.86,37.14
2023-03-29,HV 9009_2023-05-05,BRU,IBZ,HV,Transavia,2023-05-05,17:20:00,2023-05-05,19:45:00,HV 9009,100.0,62.86,37.14
2023-03-29,HV 9209_2023-05-06,BRU,HER,HV,Transavia,2023-05-06,06:35:00,2023-05-06,11:00:00,HV 9209,207.0,169.86,37.14
2023-03-29,HV 9003_2023-05-06,BRU,ALC,HV,Transavia,2023-05-06,16:20:00,2023-05-06,18:50:00,HV 9003,152.0,114.86,37.14
2023-03-29,HV 9009_2023-05-06,BRU,IBZ,HV,Transavia,2023-05-06,12:30:00,2023-05-06,14:50:00,HV 9009,163.0,125.86,37.14
2023-03-29,HV 9007_2023-05-07,BRU,FAO,HV,Transavia,2023-05-07,07:10:00,2023-05-07,09:05:00,HV 9007,97.0,59.86,37.14
2023-03-29,HV 9003_2023-05-07,BRU,ALC,HV,Transavia,2023-05-07,17:25:00,2023-05-07,19:55:00,HV 9003,167.0,129.86,37.14
2023-03-29,HV 9007_2023-05-08,BRU,FAO,HV,Transavia,2023-05-08,15:40:00,2023-05-08,17:35:00,HV 9007,97.0,59.86,37.14
2023-03-29,HV 9009_2023-05-08,BRU,IBZ,HV,Transavia,2023-05-08,06:30:00,2023-05-08,08:55:00,HV 9009,129.0,91.86,37.14
2023-03-29,HV 9211_2023-05-09,BRU,HER,HV,Transavia,2023-05-09,07:10:00,2023-05-09,11:35:00,HV 9211,241.0,203.86,37.14
2023-03-29,HV 9003_2023-05-09,BRU,ALC,HV,Transavia,2023-05-09,17:25:00,2023-05-09,19:55:00,HV 9003,138.0,100.86,37.14
2023-03-29,HV 9003_2023-05-10,BRU,ALC,HV,Transavia,2023-05-10,16:05:00,2023-05-10,18:35:00,HV 9003,167.0,129.86,37.14
2023-03-29,HV 9009_2023-05-10,BRU,IBZ,HV,Transavia,2023-05-10,06:30:00,2023-05-10,08:55:00,HV 9009,129.0,91.86,37.14
2023-03-29,HV 9007_2023-05-11,BRU,FAO,HV,Transavia,2023-05-11,16:45:00,2023-05-11,18:40:00,HV 9007,87.0,49.86,37.14
2023-03-29,HV 9003_2023-05-11,BRU,ALC,HV,Transavia,2023-05-11,06:50:00,2023-05-11,09:15:00,HV 9003,152.0,114.86,37.14
2023-03-29,HV 9007_2023-05-12,BRU,FAO,HV,Transavia,2023-05-12,07:15:00,2023-05-12,09:10:00,HV 9007,109.0,71.86,37.14
2023-03-29,HV 9009_2023-05-12,BRU,IBZ,HV,Transavia,2023-05-12,17:20:00,2023-05-12,19:45:00,HV 9009,202.0,164.86,37.14
2023-03-29,HV 9209_2023-05-13,BRU,HER,HV,Transavia,2023-05-13,06:35:00,2023-05-13,11:00:00,HV 9209,241.0,203.86,37.14
2023-03-29,HV 9003_2023-05-13,BRU,ALC,HV,Transavia,2023-05-13,16:20:00,2023-05-13,18:50:00,HV 9003,167.0,129.86,37.14
2023-03-29,HV 9009_2023-05-13,BRU,IBZ,HV,Transavia,2023-05-13,12:30:00,2023-05-13,14:50:00,HV 9009,223.0,185.86,37.14
2023-03-29,HV 9007_2023-05-14,BRU,FAO,HV,Transavia,2023-05-14,07:10:00,2023-05-14,09:05:00,HV 9007,109.0,71.86,37.14
2023-03-29,HV 9003_2023-05-14,BRU,ALC,HV,Transavia,2023-05-14,17:25:00,2023-05-14,19:55:00,HV 9003,152.0,114.86,37.14
2023-03-29,HV 9007_2023-05-15,BRU,FAO,HV,Transavia,2023-05-15,15:40:00,2023-05-15,17:35:00,HV 9007,135.0,97.86,37.14
2023-03-29,HV 9009_2023-05-15,BRU,IBZ,HV,Transavia,2023-05-15,06:30:00,2023-05-15,08:55:00,HV 9009,223.0,185.86,37.14
2023-03-29,HV 9211_2023-05-16,BRU,HER,HV,Transavia,2023-05-16,07:10:00,2023-05-16,11:35:00,HV 9211,161.0,123.86,37.14
2023-03-29,HV 9003_2023-05-16,BRU,ALC,HV,Transavia,2023-05-16,17:25:00,2023-05-16,19:55:00,HV 9003,199.0,161.86,37.14
2023-03-29,HV 9003_2023-05-17,BRU,ALC,HV,Transavia,2023-05-17,16:05:00,2023-05-17,18:35:00,HV 9003,256.0,218.86,37.14
2023-03-29,HV 9009_2023-05-17,BRU,IBZ,HV,Transavia,2023-05-17,06:30:00,2023-05-17,08:55:00,HV 9009,321.0,283.86,37.14
2023-03-29,HV 9007_2023-05-18,BRU,FAO,HV,Transavia,2023-05-18,16:45:00,2023-05-18,18:40:00,HV 9007,165.0,127.86,37.14
2023-03-29,HV 9003_2023-05-18,BRU,ALC,HV,Transavia,2023-05-18,06:50:00,2023-05-18,09:15:00,HV 9003,234.0,196.86,37.14
2023-03-29,HV 9007_2023-05-19,BRU,FAO,HV,Transavia,2023-05-19,07:15:00,2023-05-19,09:10:00,HV 9007,149.0,111.86,37.14
2023-03-29,HV 9009_2023-05-19,BRU,IBZ,HV,Transavia,2023-05-19,17:20:00,2023-05-19,19:45:00,HV 9009,182.0,144.86,37.14
2023-03-29,HV 9209_2023-05-20,BRU,HER,HV,Transavia,2023-05-20,06:35:00,2023-05-20,11:00:00,HV 9209,161.0,123.86,37.14
2023-03-29,HV 9003_2023-05-20,BRU,ALC,HV,Transavia,2023-05-20,16:20:00,2023-05-20,18:50:00,HV 9003,138.0,100.86,37.14
2023-03-29,HV 9009_2023-05-20,BRU,IBZ,HV,Transavia,2023-05-20,12:30:00,2023-05-20,14:50:00,HV 9009,163.0,125.86,37.14
2023-03-29,HV 9007_2023-05-21,BRU,FAO,HV,Transavia,2023-05-21,07:10:00,2023-05-21,09:05:00,HV 9007,97.0,59.86,37.14
2023-03-29,HV 9003_2023-05-21,BRU,ALC,HV,Transavia,2023-05-21,17:25:00,2023-05-21,19:55:00,HV 9003,138.0,100.86,37.14
2023-03-29,HV 9007_2023-05-22,BRU,FAO,HV,Transavia,2023-05-22,15:40:00,2023-05-22,17:35:00,HV 9007,109.0,71.86,37.14
2023-03-29,HV 9009_2023-05-22,BRU,IBZ,HV,Transavia,2023-05-22,06:30:00,2023-05-22,08:55:00,HV 9009,114.0,76.86,37.14
2023-03-29,HV 9211_2023-05-23,BRU,HER,HV,Transavia,2023-05-23,07:10:00,2023-05-23,11:35:00,HV 9211,146.0,108.86,37.14
2023-03-29,HV 9003_2023-05-23,BRU,ALC,HV,Transavia,2023-05-23,17:25:00,2023-05-23,19:55:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9003_2023-05-24,BRU,ALC,HV,Transavia,2023-05-24,16:05:00,2023-05-24,18:35:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9009_2023-05-24,BRU,IBZ,HV,Transavia,2023-05-24,06:30:00,2023-05-24,08:55:00,HV 9009,182.0,144.86,37.14
2023-03-29,HV 9007_2023-05-25,BRU,FAO,HV,Transavia,2023-05-25,16:45:00,2023-05-25,18:40:00,HV 9007,122.0,84.86,37.14
2023-03-29,HV 9003_2023-05-25,BRU,ALC,HV,Transavia,2023-05-25,06:50:00,2023-05-25,09:15:00,HV 9003,125.0,87.86,37.14
2023-03-29,HV 9007_2023-05-26,BRU,FAO,HV,Transavia,2023-05-26,07:15:00,2023-05-26,09:10:00,HV 9007,135.0,97.86,37.14
2023-03-29,HV 9009_2023-05-26,BRU,IBZ,HV,Transavia,2023-05-26,17:20:00,2023-05-26,19:45:00,HV 9009,223.0,185.86,37.14
2023-03-29,HV 9209_2023-05-27,BRU,HER,HV,Transavia,2023-05-27,06:35:00,2023-05-27,11:00:00,HV 9209,175.0,137.86,37.14
2023-03-29,HV 9003_2023-05-27,BRU,ALC,HV,Transavia,2023-05-27,16:20:00,2023-05-27,18:50:00,HV 9003,152.0,114.86,37.14
2023-03-29,HV 9009_2023-05-27,BRU,IBZ,HV,Transavia,2023-05-27,12:30:00,2023-05-27,14:50:00,HV 9009,268.0,230.86,37.14
2023-03-29,HV 9007_2023-05-28,BRU,FAO,HV,Transavia,2023-05-28,07:10:00,2023-05-28,09:05:00,HV 9007,135.0,97.86,37.14
2023-03-29,HV 9003_2023-05-28,BRU,ALC,HV,Transavia,2023-05-28,17:25:00,2023-05-28,19:55:00,HV 9003,138.0,100.86,37.14
2023-03-29,HV 9007_2023-05-29,BRU,FAO,HV,Transavia,2023-05-29,15:40:00,2023-05-29,17:35:00,HV 9007,122.0,84.86,37.14
2023-03-29,HV 9009_2023-05-29,BRU,IBZ,HV,Transavia,2023-05-29,06:30:00,2023-05-29,08:55:00,HV 9009,163.0,125.86,37.14
2023-03-29,HV 9211_2023-05-30,BRU,HER,HV,Transavia,2023-05-30,07:10:00,2023-05-30,11:35:00,HV 9211,191.0,153.86,37.14
2023-03-29,HV 9003_2023-05-30,BRU,ALC,HV,Transavia,2023-05-30,17:25:00,2023-05-30,19:55:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9003_2023-05-31,BRU,ALC,HV,Transavia,2023-05-31,16:05:00,2023-05-31,18:35:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9009_2023-05-31,BRU,IBZ,HV,Transavia,2023-05-31,06:30:00,2023-05-31,08:55:00,HV 9009,129.0,91.86,37.14
2023-03-29,HV 9007_2023-06-01,BRU,FAO,HV,Transavia,2023-06-01,16:45:00,2023-06-01,18:40:00,HV 9007,135.0,97.86,37.14
2023-03-29,HV 9003_2023-06-01,BRU,ALC,HV,Transavia,2023-06-01,06:50:00,2023-06-01,09:15:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9007_2023-06-02,BRU,FAO,HV,Transavia,2023-06-02,07:15:00,2023-06-02,09:10:00,HV 9007,122.0,84.86,37.14
2023-03-29,HV 9009_2023-06-02,BRU,IBZ,HV,Transavia,2023-06-02,17:20:00,2023-06-02,19:45:00,HV 9009,163.0,125.86,37.14
2023-03-29,HV 9209_2023-06-03,BRU,HER,HV,Transavia,2023-06-03,06:35:00,2023-06-03,11:00:00,HV 9209,161.0,123.86,37.14
2023-03-29,HV 9003_2023-06-03,BRU,ALC,HV,Transavia,2023-06-03,16:20:00,2023-06-03,18:50:00,HV 9003,138.0,100.86,37.14
2023-03-29,HV 9009_2023-06-03,BRU,IBZ,HV,Transavia,2023-06-03,12:30:00,2023-06-03,14:50:00,HV 9009,182.0,144.86,37.14
2023-03-29,HV 9007_2023-06-04,BRU,FAO,HV,Transavia,2023-06-04,07:10:00,2023-06-04,09:05:00,HV 9007,87.0,49.86,37.14
2023-03-29,HV 9003_2023-06-04,BRU,ALC,HV,Transavia,2023-06-04,17:25:00,2023-06-04,19:55:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9007_2023-06-05,BRU,FAO,HV,Transavia,2023-06-05,15:40:00,2023-06-05,17:35:00,HV 9007,109.0,71.86,37.14
2023-03-29,HV 9009_2023-06-05,BRU,IBZ,HV,Transavia,2023-06-05,06:30:00,2023-06-05,08:55:00,HV 9009,100.0,62.86,37.14
2023-03-29,HV 9211_2023-06-06,BRU,HER,HV,Transavia,2023-06-06,07:10:00,2023-06-06,11:35:00,HV 9211,175.0,137.86,37.14
2023-03-29,HV 9003_2023-06-06,BRU,ALC,HV,Transavia,2023-06-06,17:25:00,2023-06-06,19:55:00,HV 9003,101.0,63.86,37.14
2023-03-29,HV 9003_2023-06-07,BRU,ALC,HV,Transavia,2023-06-07,16:05:00,2023-06-07,18:35:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9009_2023-06-07,BRU,IBZ,HV,Transavia,2023-06-07,06:30:00,2023-06-07,08:55:00,HV 9009,146.0,108.86,37.14
2023-03-29,HV 9007_2023-06-08,BRU,FAO,HV,Transavia,2023-06-08,16:45:00,2023-06-08,18:40:00,HV 9007,87.0,49.86,37.14
2023-03-29,HV 9003_2023-06-08,BRU,ALC,HV,Transavia,2023-06-08,06:50:00,2023-06-08,09:15:00,HV 9003,112.0,74.86,37.14
2023-03-29,HV 9007_2023-06-09,BRU,FAO,HV,Transavia,2023-06-09,07:15:00,2023-06-09,09:10:00,HV 9007,87.0,49.86,37.14
