scrapeDate,departAirport,arrivalAirport,marketingAirline,departureDate,arrivalDate,flightNumber,totalPrice,baseFare,taxSurcharge
2023-03-23,BRU,IBZ,HV,2023-04-24T06:30:00,2023-04-24T08:55:00,9009,163.0,125.86,37.14
2023-03-23,BRU,HER,HV,2023-04-25T07:10:00,2023-04-25T11:35:00,9211,191.0,153.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-25T17:25:00,2023-04-25T19:55:00,9003,152.0,114.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-26T16:05:00,2023-04-26T18:35:00,9003,167.0,129.86,37.14
2023-03-23,BRU,IBZ,HV,2023-04-26T06:30:00,2023-04-26T08:55:00,9009,146.0,108.86,37.14
2023-03-23,BRU,FAO,HV,2023-04-27T16:45:00,2023-04-27T18:40:00,9007,215.0,177.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-27T06:50:00,2023-04-27T09:15:00,9003,199.0,161.86,37.14
2023-03-23,BRU,FAO,HV,2023-04-28T07:15:00,2023-04-28T09:10:00,9007,215.0,177.86,37.14
2023-03-23,BRU,IBZ,HV,2023-04-28T17:20:00,2023-04-28T19:45:00,9009,223.0,185.86,37.14
2023-03-23,BRU,HER,HV,2023-04-29T06:35:00,2023-04-29T11:00:00,9209,274.0,236.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-29T16:20:00,2023-04-29T18:50:00,9003,234.0,196.86,37.14
2023-03-23,BRU,IBZ,HV,2023-04-29T12:30:00,2023-04-29T14:50:00,9009,292.0,254.86,37.14
2023-03-23,BRU,FAO,HV,2023-04-30T07:10:00,2023-04-30T09:05:00,9007,165.0,127.86,37.14
2023-03-23,BRU,ALC,HV,2023-04-30T17:25:00,2023-04-30T19:55:00,9003,217.0,179.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-01T15:40:00,2023-05-01T17:35:00,9007,180.0,142.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-01T06:30:00,2023-05-01T08:55:00,9009,129.0,91.86,37.14
2023-03-23,BRU,HER,HV,2023-05-02T07:10:00,2023-05-02T11:35:00,9211,225.0,187.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-02T17:25:00,2023-05-02T19:55:00,9003,167.0,129.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-03T16:05:00,2023-05-03T18:35:00,9003,152.0,114.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-03T06:30:00,2023-05-03T08:55:00,9009,88.0,50.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-04T16:45:00,2023-05-04T18:40:00,9007,97.0,59.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-04T06:50:00,2023-05-04T09:15:00,9003,152.0,114.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-05T07:15:00,2023-05-05T09:10:00,9007,87.0,49.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-05T17:20:00,2023-05-05T19:45:00,9009,100.0,62.86,37.14
2023-03-23,BRU,HER,HV,2023-05-06T06:35:00,2023-05-06T11:00:00,9209,207.0,169.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-06T16:20:00,2023-05-06T18:50:00,9003,152.0,114.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-06T12:30:00,2023-05-06T14:50:00,9009,146.0,108.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-07T07:10:00,2023-05-07T09:05:00,9007,87.0,49.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-07T17:25:00,2023-05-07T19:55:00,9003,167.0,129.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-08T15:40:00,2023-05-08T17:35:00,9007,87.0,49.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-08T06:30:00,2023-05-08T08:55:00,9009,129.0,91.86,37.14
2023-03-23,BRU,HER,HV,2023-05-09T07:10:00,2023-05-09T11:35:00,9211,241.0,203.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-09T17:25:00,2023-05-09T19:55:00,9003,138.0,100.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-10T16:05:00,2023-05-10T18:35:00,9003,167.0,129.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-10T06:30:00,2023-05-10T08:55:00,9009,129.0,91.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-11T16:45:00,2023-05-11T18:40:00,9007,87.0,49.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-11T06:50:00,2023-05-11T09:15:00,9003,152.0,114.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-12T07:15:00,2023-05-12T09:10:00,9007,109.0,71.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-12T17:20:00,2023-05-12T19:45:00,9009,202.0,164.86,37.14
2023-03-23,BRU,HER,HV,2023-05-13T06:35:00,2023-05-13T11:00:00,9209,241.0,203.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-13T16:20:00,2023-05-13T18:50:00,9003,167.0,129.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-13T12:30:00,2023-05-13T14:50:00,9009,223.0,185.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-14T07:10:00,2023-05-14T09:05:00,9007,109.0,71.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-14T17:25:00,2023-05-14T19:55:00,9003,152.0,114.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-15T15:40:00,2023-05-15T17:35:00,9007,135.0,97.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-15T06:30:00,2023-05-15T08:55:00,9009,223.0,185.86,37.14
2023-03-23,BRU,HER,HV,2023-05-16T07:10:00,2023-05-16T11:35:00,9211,161.0,123.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-16T17:25:00,2023-05-16T19:55:00,9003,199.0,161.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-17T16:05:00,2023-05-17T18:35:00,9003,256.0,218.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-17T06:30:00,2023-05-17T08:55:00,9009,321.0,283.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-18T16:45:00,2023-05-18T18:40:00,9007,165.0,127.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-18T06:50:00,2023-05-18T09:15:00,9003,234.0,196.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-19T07:15:00,2023-05-19T09:10:00,9007,149.0,111.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-19T17:20:00,2023-05-19T19:45:00,9009,182.0,144.86,37.14
2023-03-23,BRU,HER,HV,2023-05-20T06:35:00,2023-05-20T11:00:00,9209,146.0,108.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-20T16:20:00,2023-05-20T18:50:00,9003,125.0,87.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-20T12:30:00,2023-05-20T14:50:00,9009,163.0,125.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-21T07:10:00,2023-05-21T09:05:00,9007,97.0,59.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-21T17:25:00,2023-05-21T19:55:00,9003,138.0,100.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-22T15:40:00,2023-05-22T17:35:00,9007,97.0,59.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-22T06:30:00,2023-05-22T08:55:00,9009,114.0,76.86,37.14
2023-03-23,BRU,HER,HV,2023-05-23T07:10:00,2023-05-23T11:35:00,9211,146.0,108.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-23T17:25:00,2023-05-23T19:55:00,9003,112.0,74.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-24T16:05:00,2023-05-24T18:35:00,9003,112.0,74.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-24T06:30:00,2023-05-24T08:55:00,9009,182.0,144.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-25T16:45:00,2023-05-25T18:40:00,9007,122.0,84.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-25T06:50:00,2023-05-25T09:15:00,9003,112.0,74.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-26T07:15:00,2023-05-26T09:10:00,9007,135.0,97.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-26T17:20:00,2023-05-26T19:45:00,9009,223.0,185.86,37.14
2023-03-23,BRU,HER,HV,2023-05-27T06:35:00,2023-05-27T11:00:00,9209,175.0,137.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-27T16:20:00,2023-05-27T18:50:00,9003,152.0,114.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-27T12:30:00,2023-05-27T14:50:00,9009,292.0,254.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-28T07:10:00,2023-05-28T09:05:00,9007,135.0,97.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-28T17:25:00,2023-05-28T19:55:00,9003,138.0,100.86,37.14
2023-03-23,BRU,FAO,HV,2023-05-29T15:40:00,2023-05-29T17:35:00,9007,122.0,84.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-29T06:30:00,2023-05-29T08:55:00,9009,163.0,125.86,37.14
2023-03-23,BRU,HER,HV,2023-05-30T07:10:00,2023-05-30T11:35:00,9211,191.0,153.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-30T17:25:00,2023-05-30T19:55:00,9003,112.0,74.86,37.14
2023-03-23,BRU,ALC,HV,2023-05-31T16:05:00,2023-05-31T18:35:00,9003,112.0,74.86,37.14
2023-03-23,BRU,IBZ,HV,2023-05-31T06:30:00,2023-05-31T08:55:00,9009,129.0,91.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-01T16:45:00,2023-06-01T18:40:00,9007,135.0,97.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-01T06:50:00,2023-06-01T09:15:00,9003,112.0,74.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-02T07:15:00,2023-06-02T09:10:00,9007,135.0,97.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-02T17:20:00,2023-06-02T19:45:00,9009,163.0,125.86,37.14
2023-03-23,BRU,HER,HV,2023-06-03T06:35:00,2023-06-03T11:00:00,9209,161.0,123.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-03T16:20:00,2023-06-03T18:50:00,9003,138.0,100.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-03T12:30:00,2023-06-03T14:50:00,9009,182.0,144.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-04T07:10:00,2023-06-04T09:05:00,9007,87.0,49.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-04T17:25:00,2023-06-04T19:55:00,9003,112.0,74.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-05T15:40:00,2023-06-05T17:35:00,9007,97.0,59.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-05T06:30:00,2023-06-05T08:55:00,9009,100.0,62.86,37.14
2023-03-23,BRU,HER,HV,2023-06-06T07:10:00,2023-06-06T11:35:00,9211,175.0,137.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-06T17:25:00,2023-06-06T19:55:00,9003,112.0,74.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-07T16:05:00,2023-06-07T18:35:00,9003,112.0,74.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-07T06:30:00,2023-06-07T08:55:00,9009,146.0,108.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-08T16:45:00,2023-06-08T18:40:00,9007,87.0,49.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-08T06:50:00,2023-06-08T09:15:00,9003,112.0,74.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-09T07:15:00,2023-06-09T09:10:00,9007,87.0,49.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-09T17:20:00,2023-06-09T19:45:00,9009,223.0,185.86,37.14
2023-03-23,BRU,HER,HV,2023-06-10T06:35:00,2023-06-10T11:00:00,9209,175.0,137.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-10T16:20:00,2023-06-10T18:50:00,9003,112.0,74.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-10T12:30:00,2023-06-10T14:50:00,9009,163.0,125.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-11T07:10:00,2023-06-11T09:05:00,9007,87.0,49.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-11T17:25:00,2023-06-11T19:55:00,9003,112.0,74.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-12T15:40:00,2023-06-12T17:35:00,9007,87.0,49.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-12T06:30:00,2023-06-12T08:55:00,9009,182.0,144.86,37.14
2023-03-23,BRU,HER,HV,2023-06-13T07:10:00,2023-06-13T11:35:00,9211,131.0,93.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-13T17:25:00,2023-06-13T19:55:00,9003,101.0,63.86,37.14
2023-03-23,BRU,ALC,HV,2023-06-14T16:05:00,2023-06-14T18:35:00,9003,91.0,53.86,37.14
2023-03-23,BRU,IBZ,HV,2023-06-14T06:30:00,2023-06-14T08:55:00,9009,100.0,62.86,37.14
2023-03-23,BRU,FAO,HV,2023-06-15T16:45:00,2023-06-15T18:40:00,9007,68.0,30.86,37.14
