scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,duration,aantalTussenstops,availableSeats,flightNumber,carrierCode,carrierName,departureDate,departureTime,arrivalDate,arrivalTime,totalPrice,taxIncludedInPrice
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,3,SN5589,SN,BRUSSELS AIRLINES,2023-04-29,19:15:00+02:00,2023-04-30,14:35:00+03:00,655.32,218.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,02:45,0,9,SN3259,SN,BRUSSELS AIRLINES,2023-04-30,07:00:00+02:00,2023-04-30,10:45:00+03:00,317.14,82.14
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,06:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-04-30,06:55:00+02:00,2023-04-30,14:35:00+03:00,580.58,143.58
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,09:35,2,3,SN4551,SN,BRUSSELS AIRLINES,2023-05-03,06:20:00+02:00,2023-05-03,16:55:00+03:00,414.96,195.96
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,09:35,2,4,SN4551,SN,BRUSSELS AIRLINES,2023-05-03,06:20:00+02:00,2023-05-03,16:55:00+03:00,414.96,195.96
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,2,SN5589,SN,BRUSSELS AIRLINES,2023-05-04,19:15:00+02:00,2023-05-05,08:35:00+03:00,285.88,126.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:35,2,9,SN5631,SN,BRUSSELS AIRLINES,2023-05-04,19:00:00+02:00,2023-05-05,08:35:00+03:00,332.32,173.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,12:20,1,7,SN5589,SN,BRUSSELS AIRLINES,2023-05-06,19:15:00+02:00,2023-05-07,08:35:00+03:00,285.88,126.88
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,9,SN5589,SN,BRUSSELS AIRLINES,2023-05-06,19:15:00+02:00,2023-05-07,14:35:00+03:00,655.32,218.32
2023-03-18,BRU,BRUSSELS AIRPORT,BE,CFU,IOANNIS KAPODISTRIAS,GR,18:20,2,3,SN5589,SN,BRUSSELS AIRLINES,2023-05-06,19:15:00+02:00,2023-05-07,14:35:00+03:00,655.32,218.32
