scrapeDate,departureAirportCode,departureAirportName,departureCountryCode,arrivalAirportCode,arrivalAirportName,arrivalCountryCode,duration,aantalTussenstops,availableSeats,flightNumber,carrierCode,carrierName,departureDate,departureTime,arrivalDate,arrivalTime,totalPrice,taxIncludedInPrice
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:50,0,7,SN3733,SN,BRUSSELS AIRLINES,2023-04-01,06:00:00+02:00,2023-04-01,08:50:00+02:00,474.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,11:10,1,1,SN8172,SN,CITYJET FOR BRUSSELS AIRLINES,2023-04-01,06:50:00+02:00,2023-04-01,18:00:00+02:00,865.38,148.38
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,08:50,2,3,SN4551,SN,BRUSSELS AIRLINES,2023-04-01,06:20:00+02:00,2023-04-01,15:10:00+02:00,930.62,213.62
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:50,0,9,SN3733,SN,BRUSSELS AIRLINES,2023-04-02,06:00:00+02:00,2023-04-02,08:50:00+02:00,474.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:50,0,9,SN3735,SN,BRUSSELS AIRLINES,2023-04-02,09:35:00+02:00,2023-04-02,12:25:00+02:00,474.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:55,0,9,SN3737,SN,BRUSSELS AIRLINES,2023-04-02,16:25:00+02:00,2023-04-02,19:20:00+02:00,474.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,06:45,1,1,SN5629,SN,BRUSSELS AIRLINES,2023-04-02,06:55:00+02:00,2023-04-02,13:40:00+02:00,665.58,143.58
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,10:55,1,2,SN5629,SN,BRUSSELS AIRLINES,2023-04-02,06:55:00+02:00,2023-04-02,17:50:00+02:00,665.58,143.58
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,07:30,1,1,SN4551,SN,BRUSSELS AIRLINES,2023-04-02,06:20:00+02:00,2023-04-02,13:50:00+02:00,674.51,152.51
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,05:10,1,4,SN5587,SN,BRUSSELS AIRLINES,2023-04-02,07:00:00+02:00,2023-04-02,12:10:00+02:00,867.67,150.67
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:55,0,9,SN3737,SN,BRUSSELS AIRLINES,2023-04-03,16:25:00+02:00,2023-04-03,19:20:00+02:00,344.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:50,0,9,SN3735,SN,BRUSSELS AIRLINES,2023-04-03,11:55:00+02:00,2023-04-03,14:45:00+02:00,474.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,08:15,1,1,SN5625,SN,BRUSSELS AIRLINES,2023-04-03,09:35:00+02:00,2023-04-03,17:50:00+02:00,665.58,143.58
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,05:55,1,6,SN4545,SN,BRUSSELS AIRLINES,2023-04-03,06:55:00+02:00,2023-04-03,12:50:00+02:00,860.25,143.25
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,08:15,1,6,SN4545,SN,BRUSSELS AIRLINES,2023-04-03,06:55:00+02:00,2023-04-03,15:10:00+02:00,860.25,143.25
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,06:05,1,5,SN8172,SN,BRUSSELS AIRLINES,2023-04-03,06:50:00+02:00,2023-04-03,12:55:00+02:00,865.38,148.38
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:55,0,9,SN3737,SN,BRUSSELS AIRLINES,2023-04-04,16:25:00+02:00,2023-04-04,19:20:00+02:00,279.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:50,0,9,SN3735,SN,BRUSSELS AIRLINES,2023-04-04,11:55:00+02:00,2023-04-04,14:45:00+02:00,344.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,05:55,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-04-04,06:55:00+02:00,2023-04-04,12:50:00+02:00,535.25,143.25
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,08:15,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-04-04,06:55:00+02:00,2023-04-04,15:10:00+02:00,535.25,143.25
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,08:50,2,9,SN4551,SN,BRUSSELS AIRLINES,2023-04-04,06:20:00+02:00,2023-04-04,15:10:00+02:00,605.62,213.62
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,06:40,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-04-04,06:55:00+02:00,2023-04-04,13:35:00+02:00,665.58,143.58
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,05:10,1,1,SN5587,SN,BRUSSELS AIRLINES,2023-04-04,07:00:00+02:00,2023-04-04,12:10:00+02:00,867.67,150.67
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:50,0,5,SN3735,SN,BRUSSELS AIRLINES,2023-04-05,11:55:00+02:00,2023-04-05,14:45:00+02:00,474.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:55,0,3,SN3737,SN,BRUSSELS AIRLINES,2023-04-05,16:25:00+02:00,2023-04-05,19:20:00+02:00,474.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,06:45,1,7,SN5629,SN,BRUSSELS AIRLINES,2023-04-05,06:55:00+02:00,2023-04-05,13:40:00+02:00,665.58,143.58
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,05:55,1,5,SN4545,SN,BRUSSELS AIRLINES,2023-04-05,06:55:00+02:00,2023-04-05,12:50:00+02:00,860.25,143.25
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,08:15,1,4,SN4545,SN,BRUSSELS AIRLINES,2023-04-05,06:55:00+02:00,2023-04-05,15:10:00+02:00,860.25,143.25
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,05:10,1,3,SN5587,SN,BRUSSELS AIRLINES,2023-04-05,07:00:00+02:00,2023-04-05,12:10:00+02:00,867.67,150.67
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:55,0,9,SN3737,SN,BRUSSELS AIRLINES,2023-04-06,16:25:00+02:00,2023-04-06,19:20:00+02:00,344.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:50,0,9,SN3735,SN,BRUSSELS AIRLINES,2023-04-06,11:55:00+02:00,2023-04-06,14:45:00+02:00,474.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,05:10,1,5,SN5587,SN,BRUSSELS AIRLINES,2023-04-06,07:00:00+02:00,2023-04-06,12:10:00+02:00,542.67,150.67
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,08:15,1,1,SN4545,SN,BRUSSELS AIRLINES,2023-04-06,06:55:00+02:00,2023-04-06,15:10:00+02:00,665.25,143.25
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,05:55,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-04-06,06:55:00+02:00,2023-04-06,12:50:00+02:00,860.25,143.25
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,08:15,1,9,SN5625,SN,BRUSSELS AIRLINES,2023-04-06,09:35:00+02:00,2023-04-06,17:50:00+02:00,860.58,143.58
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,06:05,1,9,SN8172,SN,BRUSSELS AIRLINES,2023-04-06,06:50:00+02:00,2023-04-06,12:55:00+02:00,865.38,148.38
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:50,0,9,SN3735,SN,BRUSSELS AIRLINES,2023-04-07,06:00:00+02:00,2023-04-07,08:50:00+02:00,279.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:55,0,9,SN3737,SN,BRUSSELS AIRLINES,2023-04-07,16:25:00+02:00,2023-04-07,19:20:00+02:00,474.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,06:05,1,7,SN8172,SN,BRUSSELS AIRLINES,2023-04-07,06:50:00+02:00,2023-04-07,12:55:00+02:00,670.38,148.38
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,05:10,1,4,SN5587,SN,BRUSSELS AIRLINES,2023-04-07,07:00:00+02:00,2023-04-07,12:10:00+02:00,672.67,150.67
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,05:55,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-04-07,06:55:00+02:00,2023-04-07,12:50:00+02:00,860.25,143.25
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,08:15,1,9,SN4545,SN,BRUSSELS AIRLINES,2023-04-07,06:55:00+02:00,2023-04-07,15:10:00+02:00,860.25,143.25
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,06:45,1,9,SN5629,SN,BRUSSELS AIRLINES,2023-04-07,06:55:00+02:00,2023-04-07,13:40:00+02:00,860.58,143.58
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,05:35,1,1,SN4551,SN,BRUSSELS AIRLINES,2023-04-07,06:20:00+02:00,2023-04-07,11:55:00+02:00,869.51,152.51
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:50,0,9,SN3733,SN,BRUSSELS AIRLINES,2023-04-08,06:00:00+02:00,2023-04-08,08:50:00+02:00,344.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:55,0,5,SN3737,SN,BRUSSELS AIRLINES,2023-04-08,16:25:00+02:00,2023-04-08,19:20:00+02:00,344.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,06:45,1,6,SN5629,SN,BRUSSELS AIRLINES,2023-04-08,06:55:00+02:00,2023-04-08,13:40:00+02:00,405.58,143.58
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,02:50,0,9,SN3735,SN,BRUSSELS AIRLINES,2023-04-08,11:55:00+02:00,2023-04-08,14:45:00+02:00,474.14,82.14
2023-03-30,BRU,BRUSSELS AIRPORT,BE,AGP,MALAGA AIRPORT,ES,11:10,1,4,SN8172,SN,CITYJET FOR BRUSSELS AIRLINES,2023-04-08,06:50:00+02:00,2023-04-08,18:00:00+02:00,540.38,148.38
