scrapeDate,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats
2023-03-16,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-25T06:35:00.000,2023-04-25T08:45:00.000,Ryanair,02:10,48.37,48.37,False,False,0.0,ADT,-1
2023-03-16,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-25T07:15:00.000,2023-04-25T10:50:00.000,Ryanair,04:35,120.19,124.99,True,False,4.8,ADT,-1
2023-03-16,FR 2923,BRU,Brussels,AGP,Malaga,2023-04-26T10:05:00.000,2023-04-26T13:00:00.000,Ryanair,02:55,161.14,161.14,False,False,0.0,ADT,-1
2023-03-16,FR 2915,BRU,Brussels,PMI,Mallorca,2023-04-26T17:25:00.000,2023-04-26T19:40:00.000,Ryanair,02:15,105.99,105.99,False,False,0.0,ADT,-1
2023-03-16,FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-26T13:10:00.000,2023-04-26T17:45:00.000,Ryanair,03:35,129.39,129.39,False,False,0.0,ADT,-1
2023-03-16,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-26T16:35:00.000,2023-04-26T18:50:00.000,Ryanair,02:15,73.53,73.53,False,False,0.0,ADT,-1
2023-03-16,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-26T09:25:00.000,2023-04-26T11:55:00.000,Malta Air,02:30,83.07,85.99,True,False,2.92,ADT,5
2023-03-16,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-26T12:25:00.000,2023-04-26T14:20:00.000,Ryanair,02:55,95.99,95.99,False,False,0.0,ADT,-1
2023-03-16,FR 6312,CRL,Brussels (Charleroi),FAO,Faro,2023-04-26T16:20:00.000,2023-04-26T18:15:00.000,Ryanair,02:55,83.99,90.99,True,False,7.0,ADT,5
2023-03-16,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-26T10:00:00.000,2023-04-26T12:25:00.000,Ryanair,02:25,129.24,139.99,True,False,10.75,ADT,-1
2023-03-16,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-26T14:45:00.000,2023-04-26T17:10:00.000,Ryanair,02:25,115.89,115.89,False,False,0.0,ADT,4
2023-03-16,FR 6063,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-26T21:55:00.000,2023-04-27T00:20:00.000,Ryanair,02:25,110.49,110.49,False,False,0.0,ADT,-1
2023-03-16,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-26T06:45:00.000,2023-04-26T09:30:00.000,Ryanair,02:45,102.39,102.39,False,False,0.0,ADT,-1
2023-03-16,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-26T06:55:00.000,2023-04-26T09:05:00.000,Ryanair,02:10,35.79,38.99,True,False,3.2,ADT,2
2023-03-16,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-27T06:25:00.000,2023-04-27T08:40:00.000,Ryanair,02:15,73.53,73.53,False,False,0.0,ADT,5
2023-03-16,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-27T11:25:00.000,2023-04-27T13:20:00.000,Ryanair,02:55,102.39,102.39,False,False,0.0,ADT,-1
2023-03-16,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-27T09:00:00.000,2023-04-27T11:25:00.000,Ryanair,02:25,97.99,97.99,False,False,0.0,ADT,-1
2023-03-16,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-27T15:05:00.000,2023-04-27T17:30:00.000,Ryanair,02:25,101.59,101.59,False,False,0.0,ADT,1
2023-03-16,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-27T10:20:00.000,2023-04-27T12:45:00.000,Ryanair,02:25,112.5,112.5,False,False,0.0,ADT,-1
2023-03-16,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-27T17:30:00.000,2023-04-27T20:15:00.000,Ryanair,02:45,102.39,102.39,False,False,0.0,ADT,3
