scrapeDate,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats,flightKey
2023-03-09,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-08-22T06:30:00.000,2023-08-22T08:55:00.000,Ryanair,02:25,57.59,57.59,False,False,0.0,ADT,-1,HFGYYXUC4LZHDXQWVW26LIGKINNV5HRPQEXVKISW74LKDSWDCD3BBKITRDCB7DIS3TV2FFTJRSIHHIUK6IH2QODQLV55DDOO4EEUPH4WEMERYMOC4YI7EUNXDKZ7ZABK6GTFDE4JTGKBRZOVZG7ETZPZ3PCL5VTJNB57JI4YGDB3WJV74FLKO3OLL67H6UATUFVLAA4P6WGBHDXG6O7CJVM7SH6QRWUZ4WRHXVENKPTVQRQG6PQ45DZN6OTTTKRX
2023-03-09,FR 9053,CRL,Brussels (Charleroi),ALC,Alicante,2023-08-22T12:15:00.000,2023-08-22T14:40:00.000,Ryanair,02:25,64.62,64.62,False,False,0.0,ADT,-1,NAENFRSGPWMWAHUUV6HRLHB4746YGEUB3YCV7XL6L5ECBNHLOG6YRJ642TCJBF37KNKQV2PRWZGY6C5Q4KUTX7E73F62BZY4RL2QYOD2KIMYW5TKSYNXCRUP7XC2UFKEPYT4FN65LM7TCRAVGPTYPECQXSABWLE74KB5VLOYRWUIPFIH7WVEMTSRQAPO4RDBRRBPDQZBN3X65HYQZQXXDSU45HBZR2VUFZEOK65OWKIBMEL5ES2PZBKIGBLRKJXY
2023-03-09,FR 6456,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-08-22T09:25:00.000,2023-08-22T11:50:00.000,Ryanair,02:25,32.71,35.99,True,False,3.28,ADT,-1,MD3L5INORXOJOEDRBM26QLEMW5OW35SPN4MPXDXF4D6X5XG32VONJ5BMUDR35ONSK5LOIJ6MDU7JANU2CR2RZS2W6KJL4SHRY7SYLEBGDNQ2AFXZJGU5CKHCTVSLW3L2QQPZJFIKJPHKJNAZIJAZJU6ODBHBCYQDEYZVHAKVZ64EHWVUGWJPO7THO5XV2VOEDZZ66FA2WFBUNPPGA27H2IYJYVEIOBZRMRGEVU44GTWPRFO4RC5JGISGNP5P5QLN
2023-03-09,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-08-22T16:00:00.000,2023-08-22T18:45:00.000,Ryanair,02:45,41.51,41.51,False,False,0.0,ADT,4,UFGJTDLS3P7OJ4F3MSM6O7K2ET4RO65HMWI5RSZWCZKS6VC4L6UDHXFUC7O2GEIXXWORBUETAZGW2Z4DTJHFAJZ7H7BTVYDX6RXZC434IGP3MVYAGBZLJJYK2MYG3E5NALDQZUAN7EJQ6TLYGB3XRASQ6VIR3X4LRV4LWDVFBGLSWG34GO3ZHI3MXHHSLYV5AE5DKDBNX2VKOMODMIQ54UFKDFKKEDWJG6BG4XKUALZ4X4ABIP6ESCT7H5EY7AJS
2023-03-09,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-08-22T06:35:00.000,2023-08-22T08:45:00.000,Ryanair,02:10,53.99,58.99,True,False,5.0,ADT,-1,NAENFRSGPWMWAHUUV6HRLHB47723PP67Q2S4MPC2SPZCDCDY6TTXHAWZE2VGDHC3SF7B4W7RVHUMT4HELPU7UMYTZWLOFY77EEHP343EGDEMFMHYQS4YXOL6DJ47UARHYHGKXZYYYPILHIEBOKCPJHHCNCQSLBHHKTO6Y76CPPHM2O3QJNBEJMHGBGOFUPVT7KAFDHKE5TCRLJF3NIKW5UVYAWZMROOONPAL7FQKG7N7QBIHAHT7BGK2ATKB6N2X
2023-03-09,FR 563,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-08-22T07:15:00.000,2023-08-22T10:50:00.000,Ryanair,04:35,105.55,108.99,True,False,3.44,ADT,2,VQYSFMHKEQSDKH2CQEXBGQ6ZENJU7HIDQQ3QQRA5BWVAZICKG7EU55MJ35WIOEB2ZU2UHK3BMAXYPYY7EPUF4RDM6BPJR77VKNKR3EDV5WZO23NPS62NIQKLD4WYS2OHOLIM6H5HDH55S6O4VGYFACN4P7GEXOAP7SFJLUQUOGGIMIY3X5EDYSBQ7RCRRX3GZZ26IBVPIG45YFCTGVXMUHJCZBNAW6425NAPT6LG4BHQESFNENU4NES5ASDK6QR7
2023-03-09,FR 2923,BRU,Brussels,AGP,Malaga,2023-08-23T10:05:00.000,2023-08-23T13:00:00.000,Ryanair,02:55,47.54,48.99,True,False,1.45,ADT,4,QBN4G4WLRTRTZ6GZVVCJQLSJNFW3PPAZWZ2J3TWF6RUHRKL25A7XP3MGTUYPV7W4SMSMV5PGAEJLIRPUI76ATDANOSSNHCGKC4PV256TITWLYEBPOZYXANGOUQQWZHOJXOHPKZBS35R7GIWTMGUICFEVMS347DVPLE3TYINMM3AP2R73SOPJZOFK3KQJ2LCWNLJZVHEZLQDAY3LM4DNQVUMQNH4QX4YZ5ZG5UW6MYQHSNW6H7WG7GTQCCIAPMAS7
2023-03-09,FR 2915,BRU,Brussels,PMI,Mallorca,2023-08-23T17:25:00.000,2023-08-23T19:40:00.000,Ryanair,02:15,62.39,67.99,True,False,5.6,ADT,2,RUGKN2QQ5TVIO4OODAN6GFC4EIW5T7WE5VSZS5Q4RHJFO4CSFYEUPOVPYHOLQ76RTMNTCTDGREJFKPV6NBRXDOE4DVD3KZ3GQ7JYQ33BJQQBTZ4DOTSWAU3VEXEYM63VXFIXG4SH5V5HL5NWFHJYRMXKIB7DKSW47JUQYNLY2TG6AZLEFAKIJK3FZHJWWLP42VEMR3BLJKXTXGPWRZL3WSCW6U5UODMAFSUWCMHV72D2EGZZE2KQIDOQLVYL5SRQ
2023-03-09,FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-08-23T08:05:00.000,2023-08-23T11:45:00.000,Ryanair,02:40,65.19,67.99,True,False,2.8,ADT,2,RUGKN2QQ5TVIO4OODAN6GFC4EKIUKQOHAOYQ7ZATYCMINXLBAS7SVGEREGHAGEYYIUN5XMTZSNJIQ5PB2673R34UP6V4EFXHEDEQ6SG2I4AJO4CJUWB5GKRRF4HNO7U6HKDP2AQV2DF6KJ6PCNKAZYK4EANSJDEWPW47AO57H3I4E7AH76E5RE43MVIEQHSMG7SOV4ENJSCJ3WDG6WKVUOXLTJMRDSPEXNHLXZENZ5W7AMRRXK42PP3OC64AA2YK
2023-03-09,FR 8577,CRL,Brussels (Charleroi),RHO,Rhodes,2023-08-23T13:10:00.000,2023-08-23T17:45:00.000,Ryanair,03:35,57.61,59.99,True,False,2.38,ADT,-1,SKY7XNYS5MICRAL6T5BFAKJABOZRN7ROHVJEPQWM5F3TBSSY6S4NZKRQEOJKBJ3KI42GJ7SZH45W3Y3XDCYSJ4ZHAAH47JLL535HP4UVDVPH5X4LUSKRPOEHHQ6JH3FKCQ25TWZQEWDZNUPXY5WQGQLXPLQFS6WETUYOHEQ7QJTUXZKMSF64YBNZDJPH6WZHFHBGBIRJ3NJHO7HA2JKD7U5W7YUCTISRVOOGOSPIWXUZCEXZY54NTWYS6Y2CQ7MZ
2023-03-09,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-08-23T16:35:00.000,2023-08-23T18:50:00.000,Ryanair,02:15,52.94,55.99,True,False,3.05,ADT,1,JZBV7JC52PZA5FFE3YEUP42KIJZ73M5IE7A5W7A2I7PUF2SQL6QEYVAB2F23CK4EVJLG4LSJQYVVFOPFOEV6LAWDHA6UAEAY5QRMYSOESIIRADKVTAM7BV56MZQD64QD25ZRSQBNBQFLDJUA27KV3I24AUWLJW6RLE2SORVU77BO6VUBR627OEISLB5TH5U5E2EDIIKZFVQWMLWA6IZ76XTQFQRF4ZZ5DVYMUQ5CD4JNO2IHQOWUXUJKYM366OAY
2023-03-09,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-08-23T09:25:00.000,2023-08-23T11:55:00.000,Malta Air,02:30,35.99,35.99,False,False,0.0,ADT,4,MD3L5INORXOJOEDRBM26QLEMW4DR6E5642S6PZW3PHD4ZKXIRYT5JSNL3MFAYPAFWLNTRDTER46WJTV7X526CATOIKAF23GS77KOQB6C7IAMHPXP546MYS65EHSNVGT5XJFDFLX7IZSOTXUY37R5JAAZPMJXED5W2J53QS5HMRATGYCB7QCGPU3NLALJMEIX26MP6APAU4SDVQ7RBDUL74Q7S2SEZHEWZO77G6Y
2023-03-09,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-08-23T12:25:00.000,2023-08-23T14:20:00.000,Ryanair,02:55,32.03,32.03,False,False,0.0,ADT,4,L2JSVEIUVCTHJLITJUXHUWDJLCRCILKN7CDE5MCBZ2JOOKKI6P6GPQVZ75FRG3X7BQ6F423EM6RUVF5L7QGAGZF2H4HEB6RCTKKTWHS3ILSIIVDTOAFNK7RMZ76T3U2A23E52XCCJD74SWPNSMGGFESXTBGYFTTNVJCV5NIF7PRTVIIN2GP7G5UVXQWBLOFPR6VMZWBMXUOUWFJ5WP7J6PBP6K3COMPCOC54AZEJF4MEXKKWWDATMKKVADKYMTRP
2023-03-09,FR 6312,CRL,Brussels (Charleroi),FAO,Faro,2023-08-23T16:20:00.000,2023-08-23T18:15:00.000,Ryanair,02:55,34.79,38.99,True,False,4.2,ADT,-1,UFGJTDLS3P7OJ4F3MSM6O7K2ESI7CJM37UIDN27RKXBIBH7KS5YGM54AQKO35A4O2G245NZQLFJN6IMPYGCVMYGXQVJ6LTUEEPBA4X2W6SWBR2C7VJACYE4W7DZUM33SM4PZIKP27SZAWIFLTYEEDEGQHEOKZH4CVZLTRVVRVYCEEX5GUMCUOT2MHBE4I4C7RSWJQAXFSFQHFTQ43IPZIGTTF5CW7IK53G2TLHV4YF2RIVTUOSMWJLXYVKJFWOKJ
2023-03-09,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-08-23T10:00:00.000,2023-08-23T12:25:00.000,Ryanair,02:25,44.87,44.87,False,False,0.0,ADT,4,UFGJTDLS3P7OJ4F3MSM6O7K2EQTVARSAU5TFGAHI4HXZV2MLCYJKPY4FNKS4L3DOHY44WUMJ6B3VFXJAWHNS4QU6NABWLSFVC54IMAWS3QJ37AIPHVYYMKXZPOIRAPACHFY4QQ3CWI6JU6NBBZQMWYK6E2QJ3I45IX4LE4JVN44QLTOBA5YDQHF66BDC5BH6QIMOE7STHRT4E46IX3S34XEJRLD2IOE3Q6RVQCP3NHP6M55WY6HPMNX2MQO25QTD
