scrapeDate,flightNumber,departureAirportCode,departureAirportName,arrivalAirportCode,arrivalAirportName,departureDate,arrivalDate,carrierName,duration_formatted,price,originalPrice,hasDiscount,hasPromoDiscount,discountAmount,fareType,availableSeats,flightKey
2023-03-10,FR 7986,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-01T08:10:00.000,2023-04-01T12:35:00.000,Ryanair,03:25,304.85,304.85,False,False,0.0,ADT,-1,JNPKIWO3QZ2M62CX62KC7LXYQURFZEU4K4F35ZJCWVY6THUM26K6VHVVHXUQUIFV7TVKEJKFZ2XGWFA5LS37ULYQV5PGITQBLO4VYC23Q3MOI5JX5GMTB7ISGGCQUJDWYKJIJJVOGGSH6VFMRCHUDFQ4EWVUMS43KBHYOUYKUCV27JM5ZWF2JAGATPZLGGRMKTPA7PL3NDUPV3DZLJIFL3NGAXD72THTDSG5GZH4USLZPLP6GE62B4RHHC2GYQ67
2023-03-10,FR 1302,CRL,Brussels (Charleroi),NAP,Naples,2023-04-01T07:45:00.000,2023-04-01T10:00:00.000,Ryanair,02:15,115.99,115.99,False,False,0.0,ADT,5,77TY3D62D5YRBVS4WGNPD6V7HHPVKM7QUCFOK4U6ECJLBM7KWFWE4PWD2WR2PBSYFFGF2VE74DO2FTP2WQYJTAFVQENREMCARMFOGLMKHTTQIGGV2B6DTQ7HZXQOAJQLFFJYLB36EYR4HY7VKT7OQBHYU3PTKUROCWOWF3MZFZV6XKTCDDPY3WYYTHUG7HUJN4X23JHKXUQJZSUFBNCE7P57OUXY3YCFGZATHEY
2023-03-10,FR 6269,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-01T21:30:00.000,2023-04-01T23:59:00.000,Malta Air,02:29,127.33,127.33,False,False,0.0,ADT,1,77TY3D62D5YRBVS4WGNPD6V7HHB6HCRX2X6HPBKYZA35CB6L66VRCGO3WTG357HDAXRSYVFISEK4VJ34C2Z4V36AD277EJGVS4XBQGGCRYSTEEAIWSSECOILOAUA6SHLO3BSIH2PFW4F5AI3QQP274BKA36H43CBDII7EG6AANHY33IWA66KX5QH5LAPGD5XLEBEOYFRNBUL72EU2MJUSFTWHBFMSE3PJPP23AZ27KAXDA2VF4CM2P4R55PHH3XH
2023-03-10,FR 2941,CRL,Brussels (Charleroi),FAO,Faro,2023-04-01T11:05:00.000,2023-04-01T13:00:00.000,Ryanair,02:55,200.99,200.99,False,False,0.0,ADT,-1,GBUXCUBIEB4ZEEH4Y5HLGCLMKQMPPBYDGFDVDMGYX6ER2HXDOGLSRTSM3GAMCREKKVWDMRYGNDUYP4E3CDEUKHAS4VCJ6KLNYIBVSFI5A66PHZS3ITCUY6X6JQOQAO24YHKKYBQWJQTTDA6OPLRPHAQ7BR5MD6HCKO6HQ3SJ7MI7F36SATC7EAFLNNZSOTOLVCAK6T65BNGD7QAEBRSHVRRH5BGD2DVX75HBLWAOAQQ3TGBT662VOINGCJACNVPQ
2023-03-10,FR 3534,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-01T15:50:00.000,2023-04-01T18:15:00.000,Ryanair,02:25,238.39,238.39,False,False,0.0,ADT,4,5URNLR5K6NIJWCYK7DIWOVTLR3Y3ZA6QZJKICGS5REASG35S6WFWSCFETZOUVGMYYNUSGHU6SKUP4HZJTZIQU7IBVM36JL5JTGNTERUMHMLW3EXDKGD4E2R3B3AJDU6W6II6OQ4RGEIGEAKAFTJQRGWTRYA5JV4CRHQIH67TA6W3SAK3IE2KR2QZWCYYJSX6HFNZ3HCL7PPGWX4BLOPDIA666Z2UISXTFS32RBZ4ZDXGTU2SH4RPBP376NHZVONF
2023-03-10,FR 1916,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-01T13:35:00.000,2023-04-01T16:20:00.000,Ryanair,02:45,160.99,160.99,False,False,0.0,ADT,3,DML3EYUSFGJUNMMVT425ALKTFUSAIHZS7UV6VAWBGETG67RN3QJYGDL5574KKBMOZHWZH6GLUQSHNVR6I6VNKLENM3ZWTYCSHR23SVULRANS7PIP4NZNQA2MPQFGQT6N4HC42JTNIDCTQPMOGV433QXEWYMRJ5LFMEQYZFAIAKZIFRVDL6DZKYPCLONKVNLCYXZU3JWMXFG52ADXYVT4UXXS2IR5EI6XGYQ6JLY
2023-03-10,FR 7831,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-01T17:20:00.000,2023-04-01T19:30:00.000,Ryanair,02:10,100.59,100.59,False,False,0.0,ADT,-1,AMYVYVOT4S3RDQXE2WLCNOIW3NXWPP43TLI5FB5IZMXURRECHLUNHO3JEAUKXXG4OD3WLGOAIJTVTJOE54L44KFXPINCMUI627C6GD5A4JLXN2JZ3QRUY62BGYQGU65T3OJRQSDGEWMNNNOQQ5RU7WHT2TL3HVJ6TXWQCSET44NCV3HQ2HBDDCTSO5N5JDIVELGVXSOYN5BWFS4RXDS7QHRRNLS6X2ID7YUEJ37CNMZOS2LLCUOP554EHKFVNZUM
2023-03-10,FR 2923,BRU,Brussels,AGP,Malaga,2023-04-02T09:55:00.000,2023-04-02T12:50:00.000,Ryanair,02:55,194.99,194.99,False,False,0.0,ADT,5,SSXCUEX5KEMEV2L4KHUC6YCNATRXMVRQTU5OSBHQHSOUQ65MYUOVLJRNFHX37CRIY4GGIM63SEZGL3OJOFVY57JIHQR6PCJIS4EXGF7UXDJTASHZ6TUZ2537PKN4EAXHF2BASWL3NYURF47SRQULQW5N534L3RWMUYGRD6WSAZTBHBXTRN3MVGF7LCG32ZZ5AL4XJH5DWOYVIKNREGUWJPYYUINHQONQCWSJIQY
2023-03-10,FR 6251,CRL,Brussels (Charleroi),CFU,Corfu,2023-04-02T17:00:00.000,2023-04-02T20:40:00.000,Ryanair,02:40,128.87,128.87,False,False,0.0,ADT,5,YBWBGHBVRNKOJMSTM4EZLX72CTCMAYXDP5YEK22FOQDSN2SQFCIKKCEZVLTOMPIHHJZZHTI4BDKWMFN4PCI6V6OWMYBGABQWL7GFBANPLJRD4GW27OOON3E5FU7VL2V3P4GV2O3CPWTAFVKC5ZC5S6AFTLMQUA6NMM4DODHJQD7DMIBDQGZRYRP4JWC627ZMANLKDI7AGDX32FIMVUJON3SDIL54JSSOOUAVBQXK6LIW252QWYNJA5AW3GMV7VVV
2023-03-10,FR 7737,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-02T17:30:00.000,2023-04-02T19:55:00.000,Ryanair,02:25,122.86,122.86,False,False,0.0,ADT,5,HLDDXD4DJA7LP3UBCJGOERRRCLDYP2C6XL6XXE53A4T2CQKHAPKJ3QUWKL232NJV2QEV45X43UNQLTR7RS43AQQLWJO3QIWFUYNCPPUL3TBKKZYIOWQPZ7E2YEOOLTDKWWO2AQFHTYBU5SUJYMPE4VVLBN345DQFCEUCGFCCZ7KOSAO7GU6ABTNEKUWCWOTFORLFME4DQ3Q6KIK7RYHQX4ZRMQWHHPUM3ZN4XLMZ5CIWLMG4XUXBQO3UYBSTWRZF
